"File","Type","Missing","ExpectedPath"
"C:\Projects\webact-clean\pages\about-portfolio-humbold-couty-fair.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-portfolio-hydro-dynamics.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-portfolio-idt.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-portfolio-implant-excellence.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-portfolio-inland-valley-driving-school.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-portfolio-inquiz-inspections.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-portfolio-insightifi.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-portfolio-integration-design.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-portfolio-ironside-capital.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-portfolio-island-slider-guy.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-portfolio-jack-lewis.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-portfolio-jk-hatcher-homes.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-portfolio-karma-tour-hawaii.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-portfolio-kasco-hvac.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-portfolio-kenyon-homecare-consulting.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-portfolio-kinetico-denver.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-portfolio-kramarz-law.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-portfolio-lake-elsinore-driving-school.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
